0,792084.8592
1000,289.5660407
2000,25.3686467
3000,60.45597602
4000,28.48470055
5000,23.97794283
6000,49.40055971
7000,36.24166497
8000,25.82204653
9000,27.54667893
10000,43.16153909
11000,27.17433989
12000,23.49696702
13000,35.02054614
14000,34.98792614
15000,21.47885215
16000,13.04264125
17000,6.068020283
18000,1.809813647
19000,6.69938186
20000,4.694726868
21000,12.15318484
22000,1.858744724
23000,1.087530325
24000,0.7299793129
25000,2.523625632
26000,2.873849731
27000,4.157628383
28000,1.090215901
29000,2.249738584
30000,6.029089122
31000,9.783266196
32000,0.6887132067
33000,2.658090163
34000,6.856602005
35000,0.6270560238
36000,1.278924571
37000,0.1875022601
38000,2.743165129
39000,1.960018167
40000,17.62646126
41000,1.523999862
42000,0.3896715211
43000,0.6632914852
44000,0.1777899379
45000,3.660358225
46000,0.1551896418
47000,1.779677063
48000,1.341104522
49000,0.1428376464
50000,0.1962819493
51000,0.3309494013
52000,0.799778331
53000,2.542792896
54000,6.037274197
55000,8.168805341
56000,1.407239824
57000,0.1486665276
58000,1.114599305
59000,0.2489411904
60000,2.806371789
